id,name,address,service,price,employees,duration,rate,points,price_variation
2913,California Coast Credit Union- Murrieta (Madison),24716 Madison Avenue,['Interior/Exterior Window Cleaning'],,,,,,
2913,California Coast Credit Union- Murrieta (Madison),24716 Madison Avenue,['Pressure washing'],,,,,,
2913,California Coast Credit Union- Murrieta (Madison),24716 Madison Avenue,['Exterior Window Cleaning'],,,,,,
2913,California Coast Credit Union- Murrieta (Madison),24716 Madison Avenue,['Pressure washing and awning cleaning'],,,,,,
3598,California Coast - Menifee,30015 Haun Road,"['Interior/Exterior Window Cleaning', 'Inside Partition Glass Cleaning', 'ATM Glass Cleaning']",,,,,,
3598,California Coast - Menifee,30015 Haun Road,"['Interior/Exterior Window Cleaning', 'Inside Partition Glass Cleaning']",,,,,,
3603,California Coast - Scripps Ranch,9825 Mira Mesa Boulevard,"['Interior/Exterior Window Cleaning', 'Inside Partition Glass Cleaning']",,,,,,
3603,California Coast - Scripps Ranch,9825 Mira Mesa Boulevard,"['Interior/Exterior Window Cleaning', 'Inside Partition Glass Cleaning', 'Window Film/Tint Removal']",,,,,,
3603,California Coast - Scripps Ranch,9825 Mira Mesa Boulevard,['Window Coverings'],,,,,,
3708,California Coast - J Street,777 J Street,['Interior/Exterior Window Cleaning'],,,,,,
3708,California Coast - J Street,777 J Street,['Pressure washing'],,,,,,
3754,Trader Joes #224,5140 College Avenue,['Interior/Exterior Window Cleaning'],,,,,,
3762,Dr. Philip Bosch,651 East Pennsylvania Avenue,['Interior/Exterior Window Cleaning'],,,,,,
3770,California Coast - Murrieta Hot Springs,40230 Murrieta Hot Springs Road,"['Interior/Exterior Window Cleaning', 'Inside Partition Glass Cleaning']",,,,,,
3770,California Coast - Murrieta Hot Springs,40230 Murrieta Hot Springs Road,"['Exterior Window Cleaning', 'job']",,,,,,
3770,California Coast - Murrieta Hot Springs,40230 Murrieta Hot Springs Road,['Exterior Window Cleaning'],,,,,,
3919,GTM Discount #4,1315 3rd Avenue,['Exterior Window Cleaning'],,,,,,
3919,GTM Discount #4,1315 3rd Avenue,['Interior/Exterior Window Cleaning'],,,,,,
3919,GTM Discount #4,1315 3rd Avenue,"['Exterior Window Cleaning', 'Paint Removal']",,,,,,
4405,"OCS Lighting & Control, Inc.",12255 Parkway Centre Drive,['Interior/Exterior Window Cleaning'],,,,,,
4405,"OCS Lighting & Control, Inc.",12255 Parkway Centre Drive,['Window Cleaning invoice'],,,,,,
4548,Isabela Skincare,1111 Fort Stockton Drive,['Interior/Exterior Window Cleaning'],,,,,,
4556,QP Technologies,2063 Wineridge Place,['Exterior Window Cleaning'],,,,,,
9657,Green Fresh Florals,3993 Goldfinch Street,['Interior/Exterior Window Cleaning'],,,,,,
9658,Salon Bordeaux,3393 Adams Avenue,['Exterior Window Cleaning'],,,,,,
